# tracer: function_graph
#
# entries-in-buffer/entries-written: 15876/15876   #P:6
#
#                                      _-----=> irqs-off
#                                     / _----=> need-resched
#                                    | / _---=> hardirq/softirq
#                                    || / _--=> preempt-depth
#                                    ||| /     delay
#           TASK-PID    TGID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |        |      |   ||||       |         |
          <idle>-0     (-----) [000] d..1   875.712160: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [000] d.h1   875.712166: graph_ent: func=generic_handle_irq
          <idle>-0     (-----) [000] dNh1   875.712193: graph_ret: func=generic_handle_irq
          <idle>-0     (-----) [000] dN.1   875.712199: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [001] d..1   875.712247: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [001] dN.1   875.712259: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [002] dN.1   875.712317: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [002] dN.1   875.712320: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [003] dN.1   875.712379: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [003] dN.1   875.712383: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [001] d..1   875.712563: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [001] dN.1   875.712572: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [000] d..1   875.712590: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [000] dN.1   875.712599: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [001] d..1   875.717545: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [002] d..1   875.717545: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [003] d..1   875.717548: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [002] d.h1   875.717551: graph_ent: func=generic_handle_irq
          <idle>-0     (-----) [001] d.h1   875.717554: graph_ent: func=generic_handle_irq
          <idle>-0     (-----) [001] d.h1   875.717559: graph_ret: func=generic_handle_irq
          <idle>-0     (-----) [003] d.h1   875.717560: graph_ent: func=generic_handle_irq
          <idle>-0     (-----) [002] d.h1   875.717564: graph_ret: func=generic_handle_irq
          <idle>-0     (-----) [001] d..1   875.717565: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [002] d..1   875.717570: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [003] d.h1   875.717583: graph_ret: func=generic_handle_irq
          <idle>-0     (-----) [003] d..1   875.717604: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [002] d..1   875.727384: graph_ent: func=gic_handle_irq
